0,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,
4,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,
5,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,beers[0] < pivot
5,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,beers[1] < pivot
5,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,beers[2] < pivot
5,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,2,beers[3] < pivot
5,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,2,beers[4] < pivot
6,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,2,beers[5] >= pivot
9,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,2,7,beers[16] <= pivot
11,35,70,105,140,175,210,245,280,315,350,385,420,455,490,525,560,595,630,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,2,7,swap beers[5] and beers[16]
12,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,1,7,
15,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,1,7,
4,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,1,7,
5,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,2,1,6,6,6,6,6,6,6,6,6,6,7,beers[6] < pivot
5,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,2,6,1,6,6,6,6,6,6,6,6,6,7,beers[7] < pivot
6,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,2,6,6,1,6,6,6,6,6,6,6,6,7,beers[8] >= pivot
9,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,2,6,7,beers[15] <= pivot
11,35,70,105,140,175,595,245,280,315,350,385,420,455,490,525,560,210,630,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,2,6,7,swap beers[8] and beers[15]
12,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,1,6,7,
15,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,1,6,7,
4,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,1,6,7,
5,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,1,6,6,6,6,6,6,6,7,beers[9] < pivot
5,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,6,1,6,6,6,6,6,6,7,beers[10] < pivot
5,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,6,6,1,6,6,6,6,6,7,beers[11] < pivot
5,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,6,6,6,1,6,6,6,6,7,beers[12] < pivot
5,35,70,105,140,175,595,245,280,560,350,385,420,455,490,525,315,210,630,6,6,6,6,6,6,6,6,2,6,6,6,6,1,6,6,6,7,beers[13] < pivot
